Severity,Start_Lat,Start_Lng,Distance(mi),City,State,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Civil_Twilight,Year,Month,Date,Hour,Day,Duration
2,43.108742,-77.869453,0,Churchville,NY,34,92,29.47,4,CALM,0,Cloudy,Night,2019,Dec,25,20,Wed,97
2,39.983459,-75.01709,0,Pennsauken,NJ,39,55,30.04,10,NE,6,Clear,Night,2019,Dec,24,18,Tue,729
4,40.79789,-74.264977,1.139999986,West Orange,NJ,34,52,30.02,10,NE,3,Clear,Night,2019,Dec,24,21,Tue,269
3,40.022789,-75.036133,0,Philadelphia,PA,33,54,30.06,10,N,5,Clear,Night,2019,Dec,25,1,Wed,75
2,39.964149,-74.20723,0,Toms River,NJ,21,100,30.09,10,N,3,Clear,Night,2019,Dec,25,1,Wed,76
2,40.686638,-73.614708,0,Hempstead,NY,31,76,30.18,10,N,7,Clear,Night,2019,Dec,25,1,Wed,61
2,40.832645,-73.950348,0,New York,NY,35,50,30.04,10,VAR,5,Clear,Night,2019,Dec,25,2,Wed,45
3,40.712227,-73.954559,0,Brooklyn,NY,35,48,30.05,10,NE,6,Clear,Night,2019,Dec,25,3,Wed,273
3,40.00531,-75.197197,0.129999995,Philadelphia,PA,30,59,30.16,10,NE,3,Clear,Night,2019,Dec,25,4,Wed,105
3,40.729939,-74.039688,0,Jersey City,NJ,34,50,30.05,10,N,5,Clear,Night,2019,Dec,25,5,Wed,60
3,40.799477,-73.488541,0,Woodbury,NY,29,72,30.04,10,NE,3,Clear,Night,2019,Dec,25,5,Wed,45
2,39.943111,-75.289711,0,Drexel Hill,PA,28,63,30.18,10,N,5,Clear,Night,2019,Dec,25,5,Wed,214
3,41.512169,-74.069778,25.64999962,Newburgh,NY,19,100,29.72,10,CALM,0,Clear,Day,2019,Dec,25,7,Wed,109
2,39.86108,-75.074409,13.43999958,Runnemede,NJ,34,61,30.2,10,CALM,0,Cloudy,Day,2019,Dec,25,8,Wed,224
2,40.527245,-74.298546,0,Perth Amboy,NJ,38,48,30.23,10,CALM,0,Clear,Day,2019,Dec,25,10,Wed,71
2,40.534817,-74.29715,0,Woodbridge,NJ,43,53,30.17,10,CALM,0,Clear,Day,2019,Dec,25,12,Wed,44
2,39.769978,-75.048737,5.53000021,Blackwood,NJ,47,50,30.12,10,W,6,Cloudy,Day,2019,Dec,25,13,Wed,41
2,40.534748,-74.297173,0,Woodbridge,NJ,45,52,30.15,10,CALM,0,Clear,Day,2019,Dec,25,13,Wed,474
3,40.836288,-73.873512,0,Bronx,NY,42,60,30.13,10,NE,8,Cloudy,Day,2019,Dec,25,13,Wed,36
2,40.93037,-74.59034,0,Wharton,NJ,45,57,29.95,10,SW,6,Cloudy,Day,2019,Dec,25,13,Wed,45
2,40.704853,-74.245758,0,Hillside,NJ,45,53,30.13,10,VAR,3,Cloudy,Day,2019,Dec,25,13,Wed,104
3,39.983932,-75.208275,0,Philadelphia,PA,47,50,30.12,10,W,6,Cloudy,Day,2019,Dec,25,13,Wed,75
2,40.750309,-75.007858,0,Washington,NJ,45,46,30.02,10,VAR,3,Clear,Day,2019,Dec,25,15,Wed,60
3,41.39249,-73.477669,0,Danbury,CT,43,58,29.65,10,S,5,Clear,Day,2019,Dec,25,15,Wed,75
3,40.707527,-73.818909,0,Jamaica,NY,39,82,30.16,10,S,6,Cloudy,Day,2019,Dec,25,16,Wed,60
2,41.011929,-73.702141,0,Rye,NY,41,62,29.67,10,CALM,0,Clear,Night,2019,Dec,25,17,Wed,98
2,40.84222,-73.931229,0,New York,NY,42,65,30,10,N,5,Clear,Night,2019,Dec,25,17,Wed,45
3,40.844788,-73.925468,0,Bronx,NY,40,73,30.14,10,N,5,Cloudy,Night,2019,Dec,25,17,Wed,93
